"Story","Title","Result","Date","Stability","Duration (s)"
"Declare to the Republic Bank an International Investments","Fill out the international investments forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2024-01-15T16:10:38.0496447-05:00[America/Bogota]","0.0","65.34"
"Declare to the Republic Bank an Export of Goods","Fill out the export forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-09-26T15:28:28.1314415-05:00[America/Bogota]","0.0","37.96"
"Declare to the Republic Bank an export goods","Fill out the other operations forms and formula 10 for devolution to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-09-25T15:22:52.2793326-05:00[America/Bogota]","0.0","51.56"
"Declare to the Republic Bank an External Indebtedness","Fill out the external indebtedness forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-12-19T15:08:46.3393784-05:00[America/Bogota]","0.0","50.55"
"Declare to the Republic Bank an Import of Goods","Fill out the import form and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-10-12T15:33:36.8175074-05:00[America/Bogota]","0.0","0.0"
"Declare to the Republic Bank an Import of Goods","Fill out the import form and formula 10 to generate the file that had to be sent to the Republic Bank type of operation modify","SUCCESS","2023-09-26T15:30:50.5218296-05:00[America/Bogota]","0.0","56.65"
"Declare to the Republic Bank an International Investments","Fill out the international investments modify forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2024-01-16T15:24:53.1147343-05:00[America/Bogota]","0.0","42.21"
"Declare to the Republic Bank an other operations","Fill out the other operations forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2024-02-26T17:42:17.8560333-05:00[America/Bogota]","0.0","34.53"
"Declare to the Republic Bank an other operations","Fill out the other operations forms and formula 10 for devolution to generate the file that had to be sent to the Republic Bank","ERROR","2024-02-26T15:10:20.1554949-05:00[America/Bogota]","0.0","7.09"
"Declare to the Republic Bank an International Investments","Fill out the other operations modify forms and formula 10 to generate the file that had to be sent to the Republic Bank","ERROR","2024-03-15T15:09:45.2746241-05:00[America/Bogota]","0.0","17.68"
"Declare to the Republic Bank an exceptions","Fill out the exceptions forms and formulary 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-12-19T15:12:40.5928281-05:00[America/Bogota]","0.0","64.59"
"Declare to the Republic Bank an exceptions","Fill out the exceptions forms for operation modify and formulary 10 to generate the file that had to be sent to the Republic Bank","PENDING","2023-12-19T13:47:57.6044525-05:00[America/Bogota]","0.0","115.47"
"Declare to the Republic Bank an exceptions","Fill out the exceptions modify forms and formula 10 to generate the file that had to be sent to the Republic Bank","SUCCESS","2023-12-19T15:14:33.8327615-05:00[America/Bogota]","0.0","85.76"
